caso,palabra_origen,capa,cabeza,destino
gerente_escalera,escalera,1,1,"[CLS] (0.086); ya (0.065); podía (0.060); , (0.047); , (0.043)"
gerente_escalera,escalera,1,6,[CLS] (0.076); no (0.070); estaba (0.065); padres (0.043); podía (0.042)
gerente_escalera,escalera,1,12,estaba (0.085); el (0.071); la (0.064); la (0.062); la (0.062)
gerente_escalera,escalera,6,1,[CLS] (0.124); ger (0.089); Gregorio (0.072); [SEP] (0.047); escena (0.046)
gerente_escalera,escalera,6,6,estaba (0.227); atención (0.151); ; (0.097); [CLS] (0.086); dedicar (0.054)
gerente_escalera,escalera,6,12,[CLS] (0.152); es (0.134); la (0.052); [SEP] (0.051); ##ra (0.047)
gerente_escalera,escalera,12,1,la (0.315); es (0.078); [CLS] (0.071); [SEP] (0.063); ##cale (0.050)
gerente_escalera,escalera,12,6,[SEP] (0.192); la (0.140); . (0.111); el (0.099); [CLS] (0.055)
gerente_escalera,escalera,12,12,es (0.984); bar (0.009); última (0.002); bara (0.002); escena (0.001)
gerente_escalera,gerente,1,1,ger (0.092); padres (0.087); es (0.051); dedicar (0.047); podía (0.047)
gerente_escalera,gerente,1,6,el (0.072); una (0.063); la (0.051); su (0.051); a (0.050)
gerente_escalera,gerente,1,12,##gía (0.109); [CLS] (0.058); [SEP] (0.053); escena (0.053); y (0.044)
gerente_escalera,gerente,6,1,[CLS] (0.168); Gregorio (0.131); escena (0.113); mira (0.059); ##cale (0.055)
gerente_escalera,gerente,6,6,[CLS] (0.302); Gregorio (0.082); atención (0.081); Pero (0.046); dedicar (0.046)
gerente_escalera,gerente,6,12,el (0.151); [CLS] (0.117); ##ente (0.100); estaba (0.067); ger (0.057)
gerente_escalera,gerente,12,1,ger (0.164); Gregorio (0.116); [CLS] (0.105); el (0.066); . (0.055)
gerente_escalera,gerente,12,6,el (0.221); Gregorio (0.099); . (0.097); [CLS] (0.082); [SEP] (0.081)
gerente_escalera,gerente,12,12,ger (0.891); bara (0.024); padres (0.011); ##ente (0.008); Gregorio (0.006)
leche_azucar,azúcar,1,1,"az (0.193); [CLS] (0.094); ##cito (0.057); [SEP] (0.050); , (0.048)"
leche_azucar,azúcar,1,6,que (0.103); [CLS] (0.093); En (0.078); de (0.068); en (0.065)
leche_azucar,azúcar,1,12,una (0.074); que (0.068); de (0.067); de (0.064); en (0.060)
leche_azucar,azúcar,6,1,[CLS] (0.274); [SEP] (0.091); . (0.069); tro (0.064); ca (0.055)
leche_azucar,azúcar,6,6,[CLS] (0.157); ##úcar (0.104); lec (0.069); ##con (0.064); de (0.057)
leche_azucar,azúcar,6,12,az (0.175); ##úcar (0.124); lec (0.121); [CLS] (0.095); con (0.066)
leche_azucar,azúcar,12,1,##úcar (0.197); az (0.146); . (0.093); de (0.091); [CLS] (0.088)
leche_azucar,azúcar,12,6,[CLS] (0.218); [SEP] (0.145); de (0.093); . (0.080); de (0.070)
leche_azucar,azúcar,12,12,az (0.822); lec (0.066); de (0.030); pan (0.019); [SEP] (0.015)
leche_azucar,leche,1,1,ca (0.162); [SEP] (0.107); [CLS] (0.097); con (0.070); lec (0.063)
leche_azucar,leche,1,6,[CLS] (0.159); flota (0.121); ##úcar (0.078); una (0.063); ##cito (0.044)
leche_azucar,leche,1,12,"flota (0.150); una (0.124); , (0.076); ##ó (0.056); . (0.055)"
leche_azucar,leche,6,1,[CLS] (0.281); pan (0.058); [SEP] (0.057); tro (0.056); flota (0.050)
leche_azucar,leche,6,6,[CLS] (0.195); ##con (0.182); ca (0.090); ##leta (0.064); ##zo (0.048)
leche_azucar,leche,6,12,##úcar (0.139); az (0.133); ca (0.086); lec (0.078); [CLS] (0.075)
leche_azucar,leche,12,1,##úcar (0.226); az (0.100); . (0.085); pan (0.077); lec (0.069)
leche_azucar,leche,12,6,[CLS] (0.174); [SEP] (0.138); . (0.104); de (0.080); de (0.076)
leche_azucar,leche,12,12,lec (0.625); az (0.237); lle (0.036); pan (0.025); de (0.018)
